MES,SUC,CLAVE,VentaCajas,VentaDinero
ENERO,MAR,9590209,3.541666031,771.5278615
ENERO,ACT,9590209,0.416666001,90.76785501
ENERO,AME,9590209,4.583333015,998.4479307
ENERO,APZ,9590209,22.29166603,4856.087861
ENERO,AYO,9590209,6.583333015,1434.134331
ENERO,CAL,9590209,13.83333302,3013.497531
ENERO,CAM,9590209,1,217.8432
ENERO,CAQ,9590209,1,217.8432
ENERO,CHA,9590209,6.416666031,1397.827061
ENERO,CHO,9590209,4.875,1061.9856
ENERO,CUA,9590209,4.041666001,880.449455
ENERO,E314,9590209,6,1307.0592
ENERO,GAL,9590209,1.541666031,335.8414615
ENERO,HCT,9590209,18.00000003,3921.177606
ENERO,HUA,9590209,0.875,190.6128
ENERO,HUI,9590209,20.12499905,4384.094192
ENERO,JCH,9590209,1.5,326.7648
ENERO,JOS,9590209,1.5,326.7648
ENERO,JTX,9590209,6.5,1415.9808
ENERO,MIX,9590209,7.916666031,1724.591861
ENERO,NEZ,9590209,0.833333015,181.5359307
ENERO,PAC,9590209,5.958333015,1297.982331
ENERO,PIN,9590209,4.208333015,916.7567307
ENERO,PUE,9590209,2.25,490.1472
ENERO,QUE,9590209,6.958333015,1515.825531
ENERO,SAU,9590209,0.583333015,127.0751307
ENERO,SCY,9590209,5.208333015,1134.599931
ENERO,SFE,9590209,6,1307.0592
ENERO,SJU,9590209,2.291666031,499.2238615
ENERO,TEC,9590209,5.208333015,1134.599931
ENERO,TEH,9590209,,0
ENERO,TEP,9590209,1.125,245.0736
ENERO,TEX,9590209,9.25,2015.0496
ENERO,TLA,9590209,1.958333015,426.6095307
ENERO,TLP,9590209,2.208333015,481.0703307
ENERO,TLX,9590209,1.333333015,290.4575307
ENERO,TPC,9590209,1.291666031,281.3806615
ENERO,TUA,9590209,8.5,1851.6672
ENERO,TUL,9590209,1.625,353.9952
ENERO,VIA,9590209,1.125,245.0736
ENERO,XAL,9590209,7.25,1579.3632
ENERO,ZAR,9590209,7.458333015,1624.747131
ENERO,ZUM,9590209,2.875,626.2992
ENERO,MAR,9590219,1.833333015,399.3791307
ENERO,ACT,9590219,1.5,326.7648
ENERO,AME,9590219,1.458333015,317.6879307
ENERO,APZ,9590219,13,2831.9616
ENERO,AYO,9590219,1.5,326.7648
ENERO,CAL,9590219,5.541666031,1207.214261
ENERO,CAM,9590219,1.25,272.304
ENERO,CAQ,9590219,,0
