Date,Open,High,Low,Close,Adj Close,Volume
23/01/19,1073,1078.98999,1032,1066.030029,1061.519531,50006
24/01/19,1072.189941,1088,1034.01001,1072.930054,1068.390381,37250
25/01/19,1074,1078.01001,1046,1065.300049,1060.792603,34881
28/01/19,1066,1069,1031.339966,1057.969971,1053.493652,43198
29/01/19,1050,1070.949951,1041.199951,1047.119995,1042.689575,44707
30/01/19,1055.180054,1055.189941,1031.329956,1040.719971,1036.316528,31622
31/01/19,1036.099976,1056,1021,1036.660034,1032.273804,39739
01/02/19,1038.98999,1038.98999,1011.909973,1029.910034,1025.552368,60596
05/02/19,1032.47998,1061,1023.909973,1030.810059,1026.448608,48250
06/02/19,1038,1069.890015,1021.099976,1025.180054,1020.842407,47147
07/02/19,1030,1065,1030,1043.219971,1038.80603,22133
08/02/19,1048.430054,1060.76001,1037,1055.410034,1050.944458,25337
11/02/19,1057,1070,1030.130005,1049.540039,1045.099365,20218
12/02/19,1057.300049,1064.98999,1035.060059,1040.619995,1036.217041,16258
13/02/19,1045.790039,1045.98999,1014.01001,1019.159973,1014.847839,32983
14/02/19,1019,1025.01001,994.169983,1018.719971,1014.409668,17117
15/02/19,1020,1037.380005,982,1029.560059,1025.203857,51376
18/02/19,1028.5,1029,1012.890015,1022.080017,1017.755493,8212
19/02/19,1024.630005,1037.300049,1002.01001,1012.130005,1007.847595,34257
20/02/19,1018.98999,1020.5,996.01001,1005,1000.747742,41643
21/02/19,1012.210022,1024.98999,1000,1013.349976,1009.062378,14822
22/02/19,1015,1037.5,1010.02002,1019.109985,1014.798035,14083
25/02/19,1025,1049,1009,1046.380005,1041.952637,13168
26/02/19,1049,1073,1031,1052.369995,1047.917358,16918
27/02/19,1057.630005,1057.630005,1026.920044,1035.829956,1031.447266,11879
28/02/19,1035,1035,963.799988,1003.75,999.503052,62171
01/03/19,1008,1015.5,983.599976,996.340027,992.12439,49063
04/03/19,986.169983,999.390015,986.169983,994.690002,990.481384,15386
05/03/19,997.48999,1004,980.400024,996.940002,992.721863,33506
06/03/19,1004.090027,1019.880005,990.02002,1010.299988,1006.02533,9384
07/03/19,1005,1022,1000.01001,1007.150024,1002.888672,7711
08/03/19,1007.150024,1037.98999,1000.179993,1033.800049,1029.425903,13503
11/03/19,1044.98999,1049.939941,1021.01001,1032.939941,1028.569458,10072
12/03/19,1033.5,1059,1015.049988,1050.459961,1046.015381,21138
13/03/19,1045,1097.900024,1010.049988,1034.839966,1030.461426,29201
14/03/19,1047.589966,1077.050049,1020.460022,1036.97998,1032.592407,40232
15/03/19,1049.589966,1071.390015,1020,1062.72998,1058.233521,193380
19/03/19,1062,1071.400024,1033.01001,1049.439941,1044.999634,63410
20/03/19,1054.910034,1096,1041.119995,1057.670044,1053.194946,141460
21/03/19,1065,1066,1041,1057.48999,1053.015625,76434
22/03/19,1060,1077.97998,1026,1048.869995,1044.432129,91643
25/03/19,1055,1059.800049,1037,1051.670044,1047.220337,173056
26/03/19,1055.890015,1068,1045.51001,1050.050049,1045.607178,154138
27/03/19,1046.030029,1061,1037.579956,1048.839966,1044.402222,119491
28/03/19,1055.97998,1060,1045.959961,1050.079956,1045.636963,93849
29/03/19,1048.689941,1057.880005,1045.030029,1049.420044,1044.979858,81082
01/04/19,1054.900024,1057.380005,1038.079956,1049.560059,1045.119263,97713
