CADENA,DESCRIPCION,ItemNumber,MARCA,CATEGORIA,SEMANA,AÑO,MES,Ventas,Precio,Sugerido,MAX Q,Fecha
SUPERAMA,BIMBO BRAN FRUT FRESA 240GR,A7501000137237,BIMBO,BARRAS,1,2018,1,1312681.055,24.56,25.04,26.31,02/01/18
SUPERAMA,BIMBO BRAN FRUT PINA 240GR,A7501000137763,BIMBO,BARRAS,1,2018,1,1300272.535,24.64,24.64,27.52,02/01/18
SUPERAMA,BIMBO BARRA MULTIGRANO LINAZA 192GR,A7501000352777,BIMBO,BARRAS,1,2018,1,1312304.555,27.82,27.82,27.82,02/01/18
SUPERAMA,BIMBO BARRA MULTIGRANO NUEZ 204GR,A7501030424369,BIMBO,BARRAS,1,2018,1,1349472.105,27.92,28.16,28.16,02/01/18
SUPERAMA,GALLETA DE ARROZ INTEGRAL SANISSIMO 108 GRS,A7501030456117,SANISSIMO,GALLETAS,1,2018,1,1295642.165,48.6,53.1,57.74,02/01/18
SUPERAMA,GALLETAS DE ARROZ CON MAIZ SANISSIMO,A7501030455424,SANISSIMO,GALLETAS,1,2018,1,1292582.165,48.6,53.96,57.74,02/01/18
SUPERAMA,GALLETAS DE ARROZ CON QUINOA SANISSIMO,A7501030455417,SANISSIMO,GALLETAS,1,2018,1,1294697.165,48.6,53.73,57.74,02/01/18
SUPERAMA,CANELITAS MARINELA CAJA360GR,A7501030497981,MARINELA,GALLETAS,1,2018,1,1337372.535,24.46,24.86,27.57,02/01/18
SUPERAMA,GALLETAS CANELITAS MARINELA TUBO 180 GRS,A7501030490937,MARINELA,GALLETAS,1,2018,1,1304251.355,17.15,18.21,19.17,02/01/18
SUPERAMA,MLA PRINCIPE CHOCOLATE 378 GR 6 PQ,A7501030467410,MARINELA,GALLETAS,1,2018,1,1332763.355,24.56,24.56,26.67,02/01/18
SUPERAMA,TRIKI TRAKES CAJA 306 GR 5 PQ,A7501030467373,MARINELA,GALLETAS,1,2018,1,1313855.725,24.97,26.38,30.2,02/01/18
SUPERAMA,GALLETAS CON CHISPAS DE CHOCOLATE TRIKI TRAKES MARINELA TUBO 174 GRS,A7501030491057,MARINELA,GALLETAS,1,2018,1,1302653.525,17.39,18.4,19.2,02/01/18
SUPERAMA,SPONCH 270G,A7501030467281,MARINELA,GALLETAS,1,2018,1,1301654.975,24.93,28.01,32,02/01/18
SUPERAMA,MARINELA BARRITAS DE FRESA 335GRS,A7501030467489,MARINELA,GALLETAS,1,2018,1,1327462.915,24.07,24.07,24.32,02/01/18
SUPERAMA,MARINELA BARRITAS DE PINA 335GRS,A7501030467472,MARINELA,GALLETAS,1,2018,1,1318647.205,24.29,24.29,24.63,02/01/18
SUPERAMA,MARINELA BARRITAS MORAS 335GRS,A7501030470106,MARINELA,GALLETAS,1,2018,1,1301229.975,23.66,23.66,23.94,02/01/18
SUPERAMA,GALLETAS DE MANTEQUILLA GABI 454 GRS,A14437001554,GABI,GALLETAS,1,2018,1,1297403.155,59.9,59.9,59.9,02/01/18
SUPERAMA,GALLETAS POLVORONES MARINELA 375 GRS,A7501030467298,MARINELA,GALLETAS,1,2018,1,1307471.995,24.86,26.07,30.04,02/01/18
SUPERAMA,GALLETAS POLVORONES MARINELA TUBO 250 GRS,A7501030490920,MARINELA,GALLETAS,1,2018,1,1302317.935,17.15,18.24,19.32,02/01/18
SUPERAMA,GALLETAS PRINCIPE MARINELA TUBO 152 GRS,A7501030491071,MARINELA,GALLETAS,1,2018,1,1306238.125,17.4,18.29,19.32,02/01/18
SUPERAMA,GALLETA SURTIDO ESPECIAL GABI CJ 770GR            ,A14437001813,GABI,GALLETAS,1,2018,1,1309491.685,72,72.1,72.1,02/01/18
SUPERAMA,SURTIDO FINO GABI 375G ,A14437001868,GABI,GALLETAS,1,2018,1,1305047.605,41.23,41.3,41.3,02/01/18
COSTCO,GALLETAS DE MANTEQUILLA GABI 454 GRS,A14437001554,GABI,GALLETAS,1,2018,1,1307620.845,54.58,54.58,54.58,02/01/18
COSTCO,GALLETA SURTIDO ESPECIAL GABI CJ 770GR            ,A14437001813,GABI,GALLETAS,1,2018,1,1337423.075,68.95,68.95,68.95,02/01/18
COSTCO,SURTIDO FINO GABI 375G ,A14437001868,GABI,GALLETAS,1,2018,1,1355473.275,39.15,39.15,39.15,02/01/18
COSTCO,ENGLISH MUFFINS NATURAL 340G CU THO,A48121102081,THOMAS,BOLLERIA,1,2018,1,1293216.705,38.95,38.95,38.95,02/01/18
COSTCO,BAGELS REGULAR 567G CU THO,A48121277079,THOMAS,BOLLERIA,1,2018,1,1292344.165,50.98,50.98,50.98,02/01/18
COSTCO,EMPANIZADOR SIN GLUTEN SANISSIMO 200 GRS,A658480002399,SANISSIMO,SECOS,1,2018,1,1292264.965,18.26,18.26,18.26,02/01/18
COSTCO,GALLETAS DE ARROZ CON QUINOA SANISSIMO,A7501030455417,SANISSIMO,GALLETAS,1,2018,1,1295418.895,48.62,48.62,48.62,02/01/18
COSTCO,GALLETAS DE ARROZ CON MAIZ SANISSIMO,A7501030455424,SANISSIMO,GALLETAS,1,2018,1,1293932.165,48.6,48.6,48.6,02/01/18
