Fecha,Manzanas
31/01/17,252.6
28/02/17,227.4
31/03/17,201.21
30/04/17,260.08
31/05/17,248.49
30/06/17,245.76
31/07/17,271.3
31/08/17,232.17
30/09/17,322.6
31/10/17,317.08
30/11/17,225.76
31/12/17,246.19
31/01/18,225.0416555
28/02/18,192.69
31/03/18,241.22
30/04/18,251.83
31/05/18,213.94
30/06/18,201.25
31/07/18,215.47
31/08/18,206.21
30/09/18,167.78
31/10/18,192.79
30/11/18,175.2
31/12/18,189.1666544
31/01/19,201.5416497
28/02/19,165.2499827
31/03/19,192.6666506
30/04/19,195.7916545
31/05/19,176.5833205
30/06/19,157.7083195
31/07/19,176.5833171
31/08/19,163.3333213
30/09/19,163.1666506
